iter	Passed	Remaining
344	1638	3110
345	1643	3106
346	1649	3103
347	1654	3100
348	1661	3098
349	1667	3096
350	1674	3096
351	1682	3097
352	1688	3094
353	1695	3094
354	1701	3091
355	1706	3087
356	1711	3081
357	1716	3078
358	1722	3076
359	1730	3075
360	1736	3074
361	1742	3071
362	1749	3069
363	1755	3067
364	1761	3064
365	1767	3061
366	1772	3057
367	1779	3055
368	1785	3052
369	1789	3047
370	1798	3048
371	1804	3046
372	1810	3043
373	1815	3038
374	1819	3033
375	1824	3027
376	1830	3024
377	1835	3019
378	1839	3014
379	1847	3013
380	1852	3009
381	1856	3003
382	1862	3000
383	1867	2995
384	1871	2989
385	1877	2986
386	1881	2980
387	1886	2975
388	1891	2971
389	1898	2968
390	1903	2964
391	1908	2960
392	1914	2956
393	1919	2951
394	1925	2949
395	1929	2943
396	1934	2938
397	1940	2935
398	1946	2932
399	1952	2929
400	1960	2928
401	1967	2927
402	1976	2927
403	1982	2925
404	1989	2923
405	1995	2918
406	1999	2913
407	2005	2909
408	2009	2904
409	2014	2898
410	2018	2892
411	2024	2889
412	2029	2884
413	2033	2878
414	2039	2874
415	2043	2868
416	2047	2863
417	2053	2859
418	2058	2853
419	2062	2847
420	2066	2842
421	2072	2838
422	2076	2832
423	2081	2827
424	2085	2822
425	2090	2817
426	2095	2811
427	2099	2806
428	2104	2801
429	2109	2795
430	2113	2790
431	2119	2786
432	2124	2782
433	2130	2778
434	2135	2774
435	2141	2769
436	2145	2764
437	2151	2760
438	2155	2754
439	2160	2749
440	2164	2743
441	2170	2739
442	2174	2734
443	2179	2728
444	2184	2724
445	2188	2719
446	2193	2713
447	2198	2708
448	2202	2703
449	2207	2697
450	2211	2692
451	2217	2688
452	2222	2683
453	2226	2678
454	2231	2673
455	2236	2668
456	2240	2662
457	2245	2657
458	2251	2654
459	2256	2648
460	2260	2643
461	2268	2641
462	2272	2636
463	2278	2631
464	2284	2628
465	2289	2624
466	2296	2620
467	2301	2615
468	2305	2610
469	2309	2604
470	2316	2601
471	2320	2596
472	2325	2591
473	2331	2587
474	2336	2582
475	2340	2576
476	2347	2573
477	2351	2568
478	2356	2562
479	2362	2559
480	2367	2554
481	2371	2548
482	2377	2544
483	2381	2539
484	2387	2534
485	2393	2531
486	2398	2526
487	2404	2522
488	2410	2519
489	2415	2514
490	2420	2509
491	2427	2506
492	2433	2502
493	2439	2499
494	2445	2495
495	2451	2490
496	2458	2488
497	2463	2483
498	2468	2478
499	2473	2473
500	2479	2469
501	2483	2464
502	2489	2459
503	2494	2455
504	2500	2450
505	2506	2446
506	2511	2441
507	2516	2436
508	2520	2431
509	2526	2427
510	2530	2421
511	2535	2416
512	2540	2412
513	2545	2406
514	2549	2401
515	2555	2396
516	2559	2391
517	2564	2386
518	2569	2381
519	2573	2375
520	2578	2370
521	2583	2365
522	2589	2361
523	2595	2358
524	2601	2353
525	2605	2348
526	2610	2342
527	2615	2337
528	2619	2332
529	2623	2326
530	2628	2321
531	2632	2315
532	2637	2310
533	2641	2305
534	2645	2299
535	2650	2294
536	2654	2288
537	2658	2283
538	2663	2277
539	2667	2272
540	2672	2267
541	2676	2262
542	2681	2256
543	2685	2251
544	2690	2245
545	2694	2240
546	2699	2235
547	2703	2230
548	2708	2224
549	2712	2219
550	2718	2214
551	2722	2209
552	2726	2204
553	2731	2198
554	2737	2195
555	2750	2196
556	2756	2191
557	2764	2189
558	2771	2186
559	2777	2182
560	2785	2179
561	2790	2174
562	2797	2171
563	2804	2167
564	2808	2162
565	2813	2157
566	2818	2152
567	2822	2146
568	2827	2141
569	2832	2136
570	2836	2131
571	2840	2125
572	2846	2121
573	2850	2115
574	2855	2110
575	2859	2104
576	2864	2099
577	2868	2094
578	2872	2088
579	2877	2083
580	2883	2079
581	2888	2074
582	2894	2070
583	2899	2065
584	2904	2060
585	2910	2055
586	2914	2050
587	2919	2045
588	2924	2040
589	2929	2035
590	2934	2030
591	2938	2025
592	2943	2020
593	2948	2015
594	2953	2010
595	2959	2005
596	2964	2001
597	2968	1995
598	2975	1991
599	2980	1987
600	2985	1981
601	2990	1977
602	2995	1972
603	3000	1967
604	3005	1962
605	3010	1957
606	3015	1952
607	3021	1947
608	3026	1942
609	3031	1938
610	3035	1932
611	3042	1928
612	3048	1924
613	3053	1919
614	3059	1915
615	3063	1909
616	3068	1904
617	3073	1899
618	3077	1894
619	3081	1888
620	3086	1883
621	3090	1878
622	3094	1872
623	3099	1867
624	3103	1862
625	3107	1856
626	3111	1851
627	3116	1846
628	3121	1841
629	3127	1836
630	3131	1831
631	3136	1826
632	3141	1821
633	3146	1816
634	3150	1810
635	3154	1805
636	3158	1800
637	3163	1795
638	3169	1790
639	3174	1785
640	3178	1780
641	3183	1775
642	3188	1770
643	3193	1765
644	3198	1760
645	3205	1756
646	3211	1752
647	3218	1748
648	3224	1743
649	3228	1738
650	3234	1734
651	3239	1728
652	3244	1723
653	3249	1719
654	3254	1714
655	3259	1709
656	3263	1703
657	3268	1698
658	3273	1693
659	3278	1688
660	3282	1683
661	3287	1678
662	3292	1673
663	3297	1668
664	3301	1663
665	3306	1658
666	3311	1653
667	3316	1648
668	3321	1643
669	3326	1638
670	3331	1633
671	3336	1628
672	3341	1623
673	3346	1618
674	3351	1613
675	3355	1608
676	3360	1603
677	3365	1598
678	3369	1593
679	3374	1587
680	3378	1582
681	3382	1577
682	3387	1572
683	3391	1566
684	3395	1561
685	3400	1556
686	3404	1551
687	3408	1545
688	3413	1540
689	3417	1535
690	3422	1530
691	3426	1525
692	3431	1520
693	3436	1515
694	3440	1509
695	3444	1504
696	3449	1499
697	3453	1494
698	3457	1488
699	3461	1483
700	3466	1478
701	3471	1473
702	3475	1468
703	3480	1463
704	3485	1458
705	3489	1452
706	3493	1447
707	3496	1442
708	3500	1436
709	3505	1431
710	3508	1426
711	3513	1421
712	3517	1415
713	3521	1410
714	3525	1405
715	3529	1400
716	3533	1394
717	3537	1389
718	3542	1384
719	3546	1379
720	3550	1373
721	3554	1368
722	3558	1363
723	3562	1358
724	3566	1352
725	3570	1347
726	3574	1342
727	3578	1337
728	3583	1332
729	3587	1327
730	3592	1321
731	3595	1316
732	3600	1311
733	3603	1306
734	3608	1300
735	3612	1295
736	3617	1290
737	3622	1285
738	3626	1280
739	3630	1275
740	3635	1270
741	3640	1265
742	3644	1260
743	3648	1255
744	3653	1250
745	3657	1245
746	3661	1240
747	3666	1235
748	3670	1230
749	3674	1224
750	3679	1219
751	3683	1214
752	3688	1209
753	3692	1204
754	3696	1199
755	3701	1194
756	3706	1189
757	3710	1184
758	3715	1179
759	3720	1174
760	3725	1170
761	3731	1165
762	3735	1160
763	3740	1155
764	3744	1150
765	3749	1145
766	3754	1140
767	3758	1135
768	3763	1130
769	3767	1125
770	3771	1120
771	3775	1115
772	3779	1110
773	3784	1105
774	3788	1099
775	3793	1094
776	3797	1089
777	3802	1084
778	3806	1079
779	3810	1074
780	3815	1069
781	3819	1064
782	3824	1059
783	3828	1054
784	3833	1049
785	3837	1044
786	3842	1039
787	3846	1034
788	3851	1029
789	3855	1024
790	3860	1019
791	3864	1014
792	3869	1009
793	3873	1004
794	3878	1000
795	3883	995
796	3887	990
797	3892	985
798	3897	980
799	3901	975
800	3906	970
801	3910	965
802	3914	960
803	3919	955
804	3923	950
805	3928	945
806	3932	940
807	3937	935
808	3941	930
809	3945	925
810	3950	920
811	3954	915
812	3958	910
813	3963	905
814	3967	900
815	3971	895
816	3976	890
817	3980	885
818	3984	880
819	3989	875
820	3993	870
821	3997	865
822	4002	860
823	4006	855
824	4010	850
825	4015	845
826	4019	840
827	4023	835
828	4029	831
829	4033	826
830	4038	821
831	4042	816
832	4046	811
833	4050	806
834	4055	801
835	4059	796
836	4064	791
837	4068	786
838	4073	781
839	4077	776
840	4082	771
841	4087	766
842	4092	762
843	4096	757
844	4101	752
845	4105	747
846	4109	742
847	4113	737
848	4118	732
849	4123	727
850	4128	722
851	4132	717
852	4137	713
853	4142	708
854	4147	703
855	4152	698
856	4156	693
857	4161	688
858	4166	683
859	4171	679
860	4175	674
861	4180	669
862	4184	664
863	4189	659
864	4193	654
865	4198	649
866	4203	644
867	4207	639
868	4211	634
869	4216	630
870	4221	625
871	4225	620
872	4230	615
873	4234	610
874	4239	605
875	4243	600
876	4248	595
877	4252	590
878	4257	586
879	4261	581
880	4266	576
881	4270	571
882	4275	566
883	4279	561
884	4283	556
885	4288	551
886	4293	546
887	4297	542
888	4302	537
889	4306	532
890	4311	527
891	4316	522
892	4320	517
893	4325	512
894	4329	507
895	4333	502
896	4337	498
897	4342	493
898	4346	488
899	4350	483
900	4355	478
901	4359	473
902	4363	468
903	4368	463
904	4373	459
905	4377	454
906	4381	449
907	4386	444
908	4390	439
909	4394	434
910	4398	429
911	4403	424
912	4407	420
913	4412	415
914	4416	410
915	4421	405
916	4425	400
917	4430	395
918	4434	390
919	4440	386
920	4444	381
921	4450	376
922	4455	371
923	4459	366
924	4464	362
925	4469	357
926	4475	352
927	4480	347
928	4485	342
929	4490	338
930	4496	333
931	4501	328
932	4506	323
933	4511	318
934	4515	313
935	4520	309
936	4525	304
937	4529	299
938	4534	294
939	4540	289
940	4544	284
941	4549	280
942	4554	275
943	4559	270
944	4563	265
945	4568	260
946	4573	255
947	4577	251
948	4582	246
949	4587	241
950	4593	236
951	4597	231
952	4602	226
953	4607	222
954	4611	217
955	4616	212
956	4621	207
957	4625	202
958	4630	197
959	4634	193
960	4639	188
961	4643	183
962	4647	178
963	4653	173
964	4657	168
965	4661	164
966	4667	159
967	4671	154
968	4676	149
969	4680	144
970	4685	139
971	4690	135
972	4694	130
973	4699	125
974	4704	120
975	4708	115
976	4712	110
977	4717	106
978	4721	101
979	4725	96
980	4731	91
981	4736	86
982	4740	81
983	4745	77
984	4750	72
985	4754	67
986	4758	62
987	4763	57
988	4767	53
989	4771	48
990	4775	43
991	4780	38
992	4785	33
993	4789	28
994	4793	24
995	4798	19
996	4802	14
997	4807	9
998	4812	4
999	4816	0
