iter	Logloss
0	0.6768207443
1	0.6604256248
2	0.6473925334
3	0.6323024173
4	0.6209562849
5	0.6080312754
6	0.5964530318
7	0.5871598633
8	0.5774415531
9	0.568660378
10	0.5597144861
11	0.5518908628
12	0.5440208546
13	0.5371723963
14	0.5310518112
15	0.5250340793
16	0.5198432386
17	0.5127422993
18	0.5076202559
19	0.5028495401
20	0.4985123757
21	0.4939944533
22	0.490016049
23	0.4865453654
24	0.4829353262
25	0.4784151681
26	0.4740773695
27	0.4706564327
28	0.4667886203
29	0.4641410115
30	0.4606882454
31	0.4581626245
32	0.4550120771
33	0.4523690752
34	0.4499530148
35	0.4470311798
36	0.4449053141
37	0.4431158582
38	0.4413844408
39	0.4395607622
40	0.437527609
41	0.4359073541
42	0.4335060269
43	0.4308655878
44	0.4282548656
45	0.425946441
46	0.4233395807
47	0.4217886865
48	0.4204399381
49	0.4191407812
50	0.4178156016
51	0.4160118291
52	0.4149984399
53	0.4140435292
54	0.4121078588
55	0.4109521269
56	0.4100177858
57	0.4090832599
58	0.407467132
59	0.4056820793
60	0.4047151787
61	0.4038889292
62	0.402968492
63	0.4021092404
64	0.4010965858
65	0.4000870282
66	0.3993359501
67	0.3974128751
68	0.3959763792
69	0.3953480295
70	0.3947735744
71	0.3937648777
72	0.3932988097
73	0.3917480412
74	0.3911372125
75	0.3899062993
76	0.3892436136
77	0.3887621539
78	0.3879098551
79	0.3873049057
80	0.3865474116
81	0.3860752442
82	0.3855706827
83	0.3841075911
84	0.3837087617
85	0.3832946585
86	0.3830008926
87	0.382432637
88	0.3818987765
89	0.3813869325
90	0.380993444
91	0.3802107286
92	0.3795223314
93	0.3790049935
94	0.3785735392
95	0.3782341095
96	0.3779483954
97	0.3775432492
98	0.3771635788
99	0.376748555
100	0.375821432
101	0.375443484
102	0.375302423
103	0.3749144324
104	0.3745655199
105	0.3741070455
106	0.3730531688
107	0.3728304874
108	0.3723580679
109	0.3720175244
110	0.3716303584
111	0.3713368293
112	0.371024078
113	0.3706533535
114	0.3704019718
115	0.3698018572
116	0.3695469412
117	0.3685497362
118	0.3679940804
119	0.3670538181
120	0.3667793423
121	0.366497341
122	0.3661188382
123	0.3657503225
124	0.3654327718
125	0.364766371
126	0.3645182878
127	0.3642794566
128	0.3639909399
129	0.3636369025
130	0.3633359437
131	0.3630339491
132	0.3627852146
133	0.3625865015
134	0.3617215498
135	0.3615008608
136	0.3612461488
137	0.3610411392
138	0.3607813196
139	0.3605485519
140	0.3602652072
141	0.3600090886
142	0.3598431974
143	0.3590974227
144	0.358489828
145	0.3583337267
146	0.3581456124
147	0.3580362583
148	0.3578281864
149	0.3575768225
150	0.3573737779
151	0.3571305343
152	0.3569358123
153	0.3563042533
154	0.3560198174
155	0.3554595043
156	0.3549507817
157	0.3547757598
158	0.3546308201
159	0.3544211385
160	0.3540111875
161	0.3536825653
162	0.3535307263
163	0.3533723043
164	0.3531052262
165	0.3528240494
166	0.3525207158
167	0.3521759233
168	0.3520321271
169	0.3518404511
170	0.3516302139
171	0.351415985
172	0.3509138032
173	0.3506968428
174	0.3504961399
175	0.3502956367
176	0.3499938609
177	0.3496543013
178	0.3489057348
179	0.34865397
180	0.3482467004
181	0.3480307108
182	0.3476338636
183	0.347498119
184	0.3473298337
185	0.3470440276
186	0.3468643115
187	0.3467113075
188	0.3463494217
189	0.3462269295
190	0.34596119
191	0.3458259101
192	0.3456278504
193	0.3454797557
194	0.3452661845
195	0.3450912429
196	0.3448487346
197	0.3445505714
198	0.3443769473
199	0.3441775496
200	0.3439352224
201	0.3433394404
202	0.3430257521
203	0.3428441269
204	0.3424865106
205	0.3423432636
206	0.3422348049
207	0.3419722633
208	0.3417958929
209	0.3416133152
210	0.3414073181
211	0.3411893079
212	0.3410217492
213	0.340793842
214	0.3406683789
215	0.3404924134
216	0.3402295216
217	0.3400349051
218	0.3397743752
219	0.3396669934
220	0.3394995088
221	0.3393777375
222	0.3389124961
223	0.3385330011
224	0.33833776
225	0.3379838086
226	0.3377717207
227	0.3372697129
228	0.3371218164
229	0.3370049356
230	0.3368566479
231	0.3365038716
232	0.3361812095
233	0.3359684612
234	0.3358282188
235	0.3356205543
236	0.3354129016
237	0.3352382734
238	0.3351211475
239	0.3349954787
240	0.3348999847
241	0.3348115268
242	0.3347174388
243	0.3345714626
244	0.3344586169
245	0.3343118763
246	0.3342078354
247	0.3340317204
248	0.3338079479
249	0.3336647506
250	0.3333481457
251	0.33320733
252	0.3330705408
253	0.3328591914
254	0.3327143669
255	0.3326121164
256	0.3325042537
257	0.3322217142
258	0.3320656549
259	0.3319949412
260	0.3318382341
261	0.3317165236
262	0.3315814276
263	0.3314799411
264	0.3313281079
265	0.3311933089
266	0.3311329317
267	0.3308528459
268	0.3307208169
269	0.3306907042
270	0.3305289216
271	0.3304152848
272	0.3302942064
273	0.3300068352
274	0.3298850503
275	0.3294972664
276	0.3293253163
277	0.3291917376
278	0.329037415
279	0.3287688248
280	0.3286560334
281	0.3284943513
282	0.3283514622
283	0.328188588
284	0.3280337977
285	0.3279153375
286	0.3277072807
287	0.3276016875
288	0.3275055587
289	0.3273886814
290	0.3272466843
291	0.3270819317
292	0.3269819894
